yyyymm,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,Rfree,infl,ltr,corpr,svar,csp,CRSP_SPvw,CRSP_SPvwx,MA_1_9,MA_1_12,MA_2_9,MA_2_12,MA_3_9,MA_3_12,MOM_1,MOM_2,MOM_3,MOM_6,MOM_9,MOM_12
196504,89.11 ,2.57000 ,4.73330 ,0.45256 ,0.03930 ,0.04430 ,0.04800 ,0.04220 ,0.01472 ,0.00310 ,0.00319 ,0.00360 ,0.00210 ,0.00016 ,-0.00214 ,0.03561 ,0.03477 ,1,1,1,1,1,1,1,1,1,1,1,1
196505,88.42 ,2.59000 ,4.78670 ,0.45466 ,0.03890 ,0.04440 ,0.04810 ,0.04230 ,0.01625 ,0.00310 ,0.00000 ,0.00180 ,-0.00080 ,0.00033 ,-0.00257 ,-0.00312 ,-0.00835 ,1,1,1,1,1,1,0,1,1,1,1,1
196506,84.12 ,2.61000 ,4.84000 ,0.48086 ,0.03800 ,0.04460 ,0.04850 ,0.04230 ,0.01755 ,0.00350 ,0.00637 ,0.00470 ,0.00030 ,0.00183 ,-0.00238 ,-0.04688 ,-0.04837 ,0,0,0,1,1,1,0,0,0,0,0,1
196507,85.25 ,2.62670 ,4.88670 ,0.47338 ,0.03840 ,0.04480 ,0.04880 ,0.04240 ,0.01563 ,0.00310 ,0.00000 ,0.00220 ,0.00190 ,0.00052 ,-0.00192 ,0.01449 ,0.01368 ,0,0,0,0,0,1,1,0,0,0,1,1
196508,87.17 ,2.64330 ,4.93330 ,0.46736 ,0.03840 ,0.04490 ,0.04880 ,0.04280 ,0.01560 ,0.00330 ,0.00000 ,-0.00130 ,-0.00060 ,0.00011 ,-0.00174 ,0.02756 ,0.02247 ,1,1,0,1,0,0,1,1,0,0,1,1
196509,89.96 ,2.66000 ,4.98000 ,0.44854 ,0.03920 ,0.04520 ,0.04910 ,0.04330 ,0.01690 ,0.00310 ,0.00000 ,-0.00340 ,-0.00150 ,0.00030 ,-0.00140 ,0.03337 ,0.03203 ,1,1,1,1,1,1,1,1,1,1,1,1
196510,92.42 ,2.68000 ,5.05000 ,0.43442 ,0.04030 ,0.04560 ,0.04930 ,0.04330 ,0.01746 ,0.00310 ,0.00316 ,0.00270 ,0.00460 ,0.00019 ,-0.00100 ,0.02881 ,0.02774 ,1,1,1,1,1,1,1,1,1,1,1,1
196511,91.61 ,2.70000 ,5.12000 ,0.44090 ,0.04090 ,0.04600 ,0.04950 ,0.04410 ,0.02076 ,0.00350 ,0.00000 ,-0.00620 ,-0.00570 ,0.00014 ,-0.00102 ,-0.00382 ,-0.01031 ,1,1,1,1,1,1,0,1,1,1,1,1
196512,92.43 ,2.72000 ,5.19000 ,0.43064 ,0.04380 ,0.04680 ,0.05020 ,0.04500 ,0.02084 ,0.00330 ,0.00315 ,-0.00780 ,-0.01490 ,0.00030 ,-0.00081 ,0.01035 ,0.00906 ,1,1,1,1,1,1,1,1,1,1,1,1
196601,92.88 ,2.74000 ,5.24000 ,0.42440 ,0.04590 ,0.04740 ,0.05060 ,0.04570 ,0.02028 ,0.00380 ,0.00000 ,-0.01040 ,0.00220 ,0.00015 ,-0.00054 ,0.00571 ,0.00487 ,1,1,1,1,1,1,1,1,1,1,1,1
196602,91.22 ,2.76000 ,5.29000 ,0.43850 ,0.04650 ,0.04780 ,0.05120 ,0.04770 ,0.02003 ,0.00350 ,0.00629 ,-0.02500 ,-0.01130 ,0.00034 ,-0.00079 ,-0.01275 ,-0.01755 ,1,1,1,1,1,1,0,0,0,1,1,1
196603,89.23 ,2.78000 ,5.34000 ,0.49018 ,0.04590 ,0.04920 ,0.05320 ,0.04600 ,0.01679 ,0.00380 ,0.00313 ,0.02960 ,-0.00590 ,0.00093 ,-0.00049 ,-0.02304 ,-0.02461 ,0,0,0,1,1,1,0,0,0,0,1,1
196604,91.06 ,2.79670 ,5.38000 ,0.48550 ,0.04620 ,0.04960 ,0.05410 ,0.04670 ,0.01564 ,0.00340 ,0.00623 ,-0.00630 ,0.00130 ,0.00035 ,-0.00078 ,0.02216 ,0.02125 ,1,1,0,1,0,1,1,0,0,0,1,1
