Month,vrp,ogap,WTI,rdsp,sii
19931,9.4876,64.7738,-0.019577537,2.709877223,-0.0623
19932,9.3831,65.0805,0.055701524,3.106770807,-0.3964
19933,7.9175,65.0176,0.011448482,3.126785666,-0.3972
19934,8.0936,65.2041,-0.003444882,2.885360234,-0.2988
19935,10.7938,64.9433,-0.014814815,2.391493314,-1.41
19936,7.3938,65.0984,-0.043107769,2.385077144,-1.2241
19937,8.7477,65.2554,-0.062860136,2.337906857,-1.1332
19938,9.4471,65.1946,0.006707658,2.065108272,-1.0392
19939,10.4017,65.5282,-0.028317601,2.072831213,-1.0889
199310,8.5069,66.0152,0.037142857,2.25249663,-0.9442
199311,12.1877,66.3292,-0.084848485,2.390178274,-0.9546
199312,9.6009,66.7038,-0.125827815,2.448209832,-0.9591
19941,7.358,66.9164,0.035123967,2.316210067,-0.5072
19942,14.4292,66.9642,-0.0166334,2.346856852,-0.9149
19943,27.0343,67.6335,-0.0067659,2.26019401,-0.8078
19944,8.0452,68.0334,0.11852861,2.168616455,-0.6651
19945,9.6803,68.3531,0.08952497,2.233336682,-0.3892
19946,14.663,68.8002,0.065399665,2.255482914,-0.408
19947,7.8015,68.8863,0.031479538,2.259596128,-0.5945
19948,9.0176,69.3412,-0.065106816,2.268360444,-0.7049
19949,13.3732,69.5574,-0.050598477,2.370459413,-0.5777
199410,12.8008,70.119,0.015472779,2.540642676,-0.3776
199411,14.5262,70.5942,0.019751693,2.371702785,-0.3423
199412,10.4366,71.2814,-0.050359712,2.358105089,-0.4363
19951,9.1658,71.4303,0.051282051,2.383239206,-0.475
19952,9.4248,71.3343,0.029379157,2.41242132,-0.5672
19953,11.0168,71.4451,-0.001615509,2.221020741,-0.3919
19954,8.9891,71.3289,0.073354908,2.202791782,-0.2541
19955,9.2506,71.66,-0.008040201,2.218886142,0.0056
19956,6.2258,71.8967,-0.065349544,2.618880901,0.0187
19957,10.2589,71.5924,-0.060704607,2.484867153,0.1015
19958,7.4287,72.5339,0.039815349,2.555984287,-0.0579
19959,10.657,72.8247,0.011653718,2.220607912,-0.1669
199510,11.5482,72.713,-0.043883708,2.364334885,-0.1138
199511,8.5363,72.8884,0.032128514,2.329190759,-0.3208
199512,9.2318,73.1429,0.057809894,2.38927843,-0.324
19961,6.2807,72.7471,-0.008933263,2.299007772,-0.2799
19962,15.4671,73.7871,0.012195122,2.322711796,-0.4495
19963,18.9536,73.6749,0.117338921,2.2523851,-0.1388
19964,14.1619,74.4153,0.101734646,2.81885133,-0.0632
19965,14.256,74.9718,-0.099148936,3.125988549,0.1322
19966,10.4794,75.5317,-0.035427492,3.586737622,0.2375
19967,13.3234,75.5323,0.043095005,3.46553756,0.1224
19968,19.5613,75.9129,0.028169014,3.078607937,-0.302
19969,18.2089,76.4032,0.094520548,2.700484162,-0.106
199610,22.4557,76.3931,0.037964122,2.685053569,0.0223
199611,19.6608,77.0672,-0.047025723,2.97504212,-0.0408
199612,25.1198,77.5543,0.064107971,3.069240167,0.1294
19971,18.5619,77.6945,-0.003963535,2.818500736,0.2604
19972,27.3941,78.612,-0.117389574,3.034996494,0.0409
19973,28.2277,79.1021,-0.054553652,3.120657517,0.32
19974,18.043,79.1683,-0.060562709,3.287085121,0.5932
19975,16.7757,79.6084,0.056852792,3.33870686,0.6424
19976,27.5567,79.9802,-0.074927954,3.143911386,0.698
19977,24.8431,80.6492,0.020768432,2.801114852,0.7304
19978,28.425,81.4548,0.014750763,2.793622116,0.4662
19979,30.3751,82.212,-0.007518797,2.825654744,0.4594
199710,64.1708,82.9309,0.077272727,2.816756698,0.5086
199711,46.377,83.5919,-0.053445851,2.586666895,0.6083
199712,34.0974,83.9696,-0.092124814,2.97535425,0.5947
19981,22.618,84.3467,-0.087834152,2.965280355,0.7781
19982,21.2434,84.4865,-0.039473684,2.618692779,0.5157
19983,41.0088,84.5212,-0.058530511,2.197123004,0.652
19984,27.3293,84.8275,0.01521164,2.173271269,0.5665
19985,28.0328,85.3596,-0.028664495,2.407067389,0.7697
19986,18.8789,84.8466,-0.079812207,2.740454185,0.7502
19987,37.6684,84.5061,0.032798834,3.000680069,0.5678
19988,115.8531,86.2464,-0.049400141,3.61538925,0.3918
19989,71.2983,86.1707,0.115812918,3.782389741,0.398
199810,12.0462,86.7671,-0.037924152,3.869814137,0.4451
199811,43.6925,86.6929,-0.100968188,3.38847267,-0.0699
199812,32.2986,87.0633,-0.126923077,3.39446195,0.0515
19991,33.8067,87.4252,0.1030837,3.960897784,-0.0151
19992,39.544,87.926,-0.040734824,4.141061111,-0.5731
19993,24.9518,88.1101,0.222314738,4.271099115,-0.5744
19994,29.5311,88.3106,0.179155313,4.180304814,-0.6018
19995,28.6386,88.8487,0.023685731,4.146056888,-0.8687
19996,20.7194,88.7978,0.011286682,4.042220162,-0.6966
19997,38.3755,89.3119,0.121651786,7.184080001,-0.8204
19998,31.0145,89.7109,0.058706468,10.61570507,-0.876
19999,32.0597,89.3331,0.118421053,14.22233669,-0.8938
199910,15.9112,90.4924,-0.046638655,14.55312251,-0.8999
199911,33.9662,90.965,0.101806963,15.38542721,-0.7294
199912,35.7088,91.6804,0.044,16.31224837,-0.9972
20001,23.8921,91.6261,0.044444444,16.36781268,-0.9046
20002,18.8877,91.9626,0.077402788,18.35816352,-0.7399
20003,10.4004,92.3118,0.016002724,18.82412697,-0.7066
20004,-9.724,92.8872,-0.138069705,18.96893488,-0.5766
20005,10.8624,93.162,0.119362364,16.51054291,-0.6266
20006,13.1297,93.2168,0.105244877,16.41326445,-0.2667
20007,22.24,93.04,-0.066624764,16.19790066,-0.401
20008,12.9085,92.79,0.052525253,16.36273105,-0.3033
20009,16.0563,93.1547,0.08381318,15.13110248,-0.2723
200010,0.7567,92.8361,-0.022727273,15.10433619,-0.2527
200011,37.4267,92.8395,0.039565086,15.00694269,0.1527
200012,24.7904,92.5334,-0.1737362,15.54164843,0.5171
20011,5.2306,92.0304,0.040436006,16.36148461,0.6092
20012,42.2919,91.4079,0.000675904,17.21843567,0.3627
20013,13.2787,91.1751,-0.079702803,17.46207795,0.8465
20014,13.9733,90.8767,0.008807339,17.88292243,0.9662
20015,23.624,90.375,0.041469625,18.13390048,1.3825
20016,12.7123,89.8626,-0.035976249,18.40731554,1.579
20017,23.0576,89.3288,-0.042391304,15.71431299,0.8793
20018,34.0391,89.2201,0.035565645,12.98411845,1.1828
20019,35.721,88.7478,-0.042747534,10.29774438,1.0329
200110,58.3443,88.4755,-0.153816794,10.68828978,1.4906
200111,25.1728,87.9631,-0.114118178,11.04572039,1.5758
200112,35.7873,87.9329,-0.012729124,11.41180734,1.5867
20021,20.8956,88.5452,0.017019082,11.20150715,1.5283
20022,19.4193,88.5362,0.050709939,11.06080812,1.6467
20023,11.5046,89.2097,0.183880309,11.0746495,1.4985
20024,24.6613,89.6389,0.067264574,11.13638087,1.6583
20025,14.5732,90.0271,0.032849503,10.94430027,1.5394
20026,15.5733,90.7645,-0.056213018,10.66613196,1.3385
20027,-21.8967,90.7437,0.056818182,10.17380883,0.5787
20028,29.556,90.6268,0.052651094,10.28943053,0.6483
20029,80.6108,90.7241,0.044734061,10.15835412,0.836
200210,-0.097,90.4879,-0.027646662,10.64096677,1.0013
200211,31.6829,90.9823,-0.086338419,11.03663895,1.2174
200212,43.3278,90.4919,0.118026565,11.11321535,1.02
20031,55.7305,91.2395,0.118465716,10.71646734,0.8828
20032,46.5227,91.3384,0.087405159,10.08989451,0.7207
20033,34.7469,91.069,-0.064750209,10.1804835,0.857
20034,12.8601,90.4913,-0.159355416,10.61664783,1.0771
20035,14.8049,90.4697,-0.002129925,11.1814059,1.0529
20036,14.3919,90.5899,0.090715048,11.32493195,1.1542
20037,9.9036,91.0614,0.003261579,11.23293913,1.3809
20038,15.2008,90.8452,0.0263329,10.92897497,1.7076
20039,30.5595,91.4453,-0.103262591,10.78925054,1.4227
200310,6.8398,91.5595,0.071706111,10.81197652,1.2673
200311,13.5734,92.1763,0.025379038,10.71801671,1.3234
200312,20.7938,92.2532,0.032786885,10.78460579,1.1834
20041,14.086,92.4067,0.067849362,10.62607267,1.238
20042,9.8728,92.9687,0.011075488,10.58591205,1.2676
20043,9.4462,92.6,0.05909484,10.48095229,1.257
20044,13.4427,92.9761,0.000272183,10.22254529,1.4788
20045,5.2403,93.6446,0.096054422,10.19241819,1.4689
20046,10.6631,92.9303,-0.055858987,10.33204851,1.5858
20047,10.0533,93.6109,0.072311333,8.074308505,1.5901
20048,10.4318,93.6958,0.101029917,5.34810934,1.5689
20049,9.0262,93.7958,0.023162584,2.500362912,1.4528
200410,14.1218,94.6226,0.159773618,2.15829628,1.3874
200411,6.6873,94.8491,-0.090277778,2.276739736,1.2819
200412,8.9618,95.5841,-0.109758614,2.23732401,1.103
20051,5.7193,95.9285,0.085515643,2.280777128,0.9348
20052,7.5783,96.6287,0.027967549,2.289229638,0.8084
20053,8.7577,96.4907,0.125441329,2.272385902,0.98
20054,7.8733,96.6809,-0.022328843,2.26313649,1.0198
